trainee,timestamp,eventType,event
3,14.5.2020 12:16:03,bash-command,44-ssh
3,14.5.2020 12:18:58,bash-command,44-ssh
3,14.5.2020 12:22:02,bash-command,44-ssh
3,14.5.2020 12:22:43,bash-command,44-pwd
3,14.5.2020 12:22:48,bash-command,44-ls
3,14.5.2020 12:24:04,bash-command,44-ssh
3,14.5.2020 12:27:17,bash-command,44-ssh
3,14.5.2020 12:27:50,bash-command,44-ssh
3,14.5.2020 12:29:12,bash-command,44-ssh
3,14.5.2020 12:30:29,bash-command,44-ssh
3,14.5.2020 12:32:23,bash-command,44-cd
3,14.5.2020 12:33:12,bash-command,44-chmod
3,14.5.2020 12:33:25,bash-command,44-ls
3,14.5.2020 12:33:40,bash-command,44-ssh
3,14.5.2020 12:33:50,bash-command,44-cd
3,14.5.2020 12:33:57,bash-command,44-ssh
